,PrecinctID,Yes,No,Ballots,Turnout,prop,PYes,PNo
150,7634,122,202,344,40.56,I,0.37654321,0.62345679
247,7947,122,202,343,40.64,I,0.37654321,0.62345679
366,9708,274,455,769,48.82,I,0.375857339,0.624142661
205,7859,301,501,822,50.8,I,0.375311721,0.624688279
337,9429,292,487,830,48.76,I,0.374839538,0.625160462
203,7855,338,567,917,53.43,I,0.373480663,0.626519337
213,7872,170,286,469,55.7,I,0.372807018,0.627192982
331,9421,259,437,719,45.83,I,0.372126437,0.627873563
332,9422,282,476,796,42.89,I,0.372031662,0.627968338
168,7708,167,282,472,57.63,I,0.371937639,0.628062361
196,7839,165,281,459,55.24,I,0.369955157,0.630044843
195,7838,190,324,521,59.48,I,0.369649805,0.630350195
138,7616,86,147,247,42.44,I,0.369098712,0.630901288
342,9439,265,453,756,44.47,I,0.36908078,0.63091922
335,9426,111,190,314,42.66,I,0.368770764,0.631229236
54,7041,7,12,19,35.85,I,0.368421053,0.631578947
315,9255,73,126,199,42.53,I,0.366834171,0.633165829
334,9424,249,431,731,42.85,I,0.366176471,0.633823529
194,7837,350,613,977,58.4,I,0.36344756,0.63655244
167,7707,165,289,461,59.11,I,0.363436123,0.636563877
56,7045,93,163,277,39.12,I,0.36328125,0.63671875
157,7644,107,188,311,37.92,I,0.362711864,0.637288136
369,9713,273,480,798,44.48,I,0.362549801,0.637450199
172,7802,140,247,393,56.15,I,0.361757106,0.638242894
109,7516,136,240,395,52.12,I,0.361702128,0.638297872
180,7816,329,584,942,59.88,I,0.360350493,0.639649507
72,7302,150,267,455,61.73,I,0.35971223,0.64028777
66,7203,107,191,304,41.31,I,0.359060403,0.640939597
339,9433,119,215,343,39.56,I,0.356287425,0.643712575
188,7831,168,305,492,57.89,I,0.355179704,0.644820296
390,9746,146,266,435,51.85,I,0.354368932,0.645631068
340,9436,133,243,397,43.11,I,0.353723404,0.646276596
347,9451,66,121,192,49.36,I,0.352941176,0.647058824
363,9703,154,283,458,50.33,I,0.352402746,0.647597254
372,9716,289,533,860,47.78,I,0.351581509,0.648418491
316,9256,171,316,494,42.41,I,0.351129363,0.648870637
314,9253,106,197,310,43.48,I,0.349834983,0.650165017
129,7556,167,311,487,53.64,I,0.349372385,0.650627615
94,7338,268,501,855,56.59,I,0.348504551,0.651495449
318,9258,104,195,308,49.36,I,0.347826087,0.652173913
286,9205,193,363,586,40.42,I,0.347122302,0.652877698
346,9449,219,416,673,42.64,I,0.34488189,0.65511811
385,9737,258,494,777,55.54,I,0.343085106,0.656914894
349,9453,70,135,222,51.15,I,0.341463415,0.658536585
313,9252,129,256,394,48.23,I,0.335064935,0.664935065
67,7205,246,492,784,49.5,I,0.333333333,0.666666667
126,7553,25,50,79,46.2,I,0.333333333,0.666666667
312,9251,243,489,753,46.17,I,0.331967213,0.668032787
311,9245,190,383,611,42.76,I,0.331588133,0.668411867
77,7312,147,297,462,56.96,I,0.331081081,0.668918919
336,9427,116,236,373,44.09,I,0.329545455,0.670454545
285,9202,82,168,259,31.17,I,0.328,0.672
156,7643,110,227,352,43.35,I,0.326409496,0.673590504
68,7206,41,85,128,40.64,I,0.325396825,0.674603175
47,7030,132,275,427,39.72,I,0.324324324,0.675675676
383,9732,12,25,40,58.82,I,0.324324324,0.675675676
210,7866,140,292,448,58.56,I,0.324074074,0.675925926
164,7704,268,559,853,53.92,I,0.324062878,0.675937122
171,7801,164,343,527,59.02,I,0.3234714,0.6765286
151,7636,162,341,517,35.83,I,0.322067594,0.677932406
299,9225,200,422,650,39.75,I,0.321543408,0.678456592
380,9728,273,580,886,49.55,I,0.320046893,0.679953107
202,7852,192,410,608,55.28,I,0.318936877,0.681063123
149,7633,190,407,623,42.5,I,0.318257956,0.681742044
367,9711,95,204,317,53.46,I,0.317725753,0.682274247
144,7625,124,267,445,52.66,I,0.31713555,0.68286445
310,9244,185,399,615,39.52,I,0.316780822,0.683219178
373,9718,146,315,471,59.54,I,0.31670282,0.68329718
64,7201,111,240,359,43.62,I,0.316239316,0.683760684
65,7202,114,247,371,50.14,I,0.315789474,0.684210526
51,7037,28,61,102,13.62,I,0.314606742,0.685393258
103,7505,145,316,477,58.74,I,0.314533623,0.685466377
308,9242,194,424,636,40.05,I,0.313915858,0.686084142
173,7804,152,336,495,58.37,I,0.31147541,0.68852459
